Column1.delta,Column1.size,Column1.difficulty
4462056,135.304757,20.03580347
40276923,86.073143,20.10543484
9982527,176.4069,20.08110502
9887871,312.52482,20.05031413
15912145,56.091,20.02413357
3775218,5590.45428,20.01128373
13968775,42.396261,19.98080162
4893326,2516.750818,19.95174086
30308080,27.997596,19.96774589
14077566,132.183042,19.99101552
40209757,122.692358,19.96636759
30879218,36.910468,19.95988265
2854757,8017.777682,19.93119048
18924011,259.430522,19.91325837
8872884,958.325006,19.9690293
41330228,71.517329,19.96432426
89504689,72.170143,19.96608245
16952894,24.015225,19.96468063
48033778,64.064169,20.07692363
7854425,79.457147,20.06597376
7060842,31.170376,20.07759638
11476846,56.285717,20.04023107
37114820,200,20.00333847
10177221,132.581372,20.01667961
25816484,131.283585,20.06283028
9336725,54.740966,20.04226602
6812211,70.552369,20.0143872
21755739,89.552393,19.99606681
17329206,64.311681,19.96019136
96809181,24.839848,19.93841502
12981334,56.969507,19.93220871
7587004,263.824383,19.89736413
7198811,172.859818,19.86487543
48106503,47.548666,19.91316382
12064970,58.61498,19.88908463
23868932,33.995951,19.85951405
34629917,51.241857,19.85695196
46518234,45.019011,19.84363505
37690815,52.813612,19.80598891
21554683,52.834856,19.79741147
6722391,59.039453,19.82297874
23553085,34.831952,19.82414991
64412545,70.858803,19.83814438
13695703,80.269544,19.83230509
28312623,78.586054,19.84081894
16480585,260.406552,19.85436704
23466560,66.056,19.82155009
70016157,89.404156,19.86424037
34410789,38.094686,19.83207065
4752705,4347.11026,19.80453934
17038659,131.306022,19.81813156
16849308,129.579839,19.91914543
25341332,3.333333,19.96000138
30537442,47.104629,19.92550927
49446018,86.176031,19.94346347
17387866,53.809744,19.94239668
3068104,4681.364,19.95299849
5595145,166.127507,19.93585623
8273910,75.399282,19.90423356
4540623,4446.021334,19.86713371
4193816,4756.434967,19.85373266
5477201,961.379,19.82007483
4449895,4313.20923,19.80091634
18067641,22.081281,19.81548652
39469901,67.186174,19.8093097
3908269,196.621276,19.80524072
50373342,80.436242,19.8308751
3624762,5124.41065,19.82778142
35626620,147.882391,19.79082568
15547134,26.716002,19.76152307
71662021,28.205176,19.74689266
9953869,114.135291,19.73964363
8530740,126.982879,19.72189209
7139281,75.907197,19.74547496
4194086,2218.41979,19.72648355
14087363,133.022043,19.84689803
17595671,128.088209,19.95349684
9805047,160.9076,19.91637879
15128564,59.648205,19.90057399
7434359,131.781484,19.87012203
77281549,31.727514,19.85770407
17221667,39.844,19.87475922
15428205,21.919349,19.87751432
73055006,49.807649,19.86816893
11002922,59.766619,19.92539095
67503688,43.931557,19.99752072
8680334,257.838027,19.97794645
6205581,262.910829,19.97635267
31951449,101.973923,19.96869655
13736679,247.83914,19.93254024
76134924,26.154454,19.90744564
4575101,4229.441872,19.87362915
56017191,35.261,20.01457822
17401462,31.648677,20.07817306
24632896,61.056935,20.0743772
3562674,4758.803,20.05400501
96483065,40.612,20.02305814
8157670,41.001048,20.03152133
16240987,109.248,19.99392208
32856954,54.86453,20.09722206
42136958,57.294535,20.08379741
11825299,132.813,20.14236678
5856756,97.902318,20.15347284
12610864,146.074376,20.14800297
14192725,70.52635,20.14246352
35258646,30.699912,20.10863989
27951712,20,20.10970043
33069817,71.142014,20.1305483
48657685,52.781773,20.11025485
57580993,54.171,20.12856783
43096737,60.238811,20.09291363
14059102,85.555808,20.06043134
14630973,26.629911,20.0487567
17703806,107.786027,20.01398131
5848211,66.821068,20.04240968
30093958,95.168867,20.03597097
6949934,44.290136,20.01305021
17436362,124.851058,19.97866016
15966770,79.328311,19.94578709
33146215,27.381,19.92375822
14610444,143.395,19.93841502
10211221,68.638297,19.94583451
4563099,4168.972525,19.93211398
17398859,125.354602,19.94645108
3440722,4186.109461,19.97709006
4241316,4756.021,19.99304049
12977516,290.14485,20.11066466
27165787,130.613,20.11536658
4866336,628.404067,20.1069047
38674045,30.811235,20.09613876
31713440,92.200134,20.1248736
13787617,145.520049,20.11502894
